ARTYLUŁ;SWING;MODEL;NAZWA ARTYKU£U;LFB1;LFB3;LFB4;TRNS;Suma
60361174;800230;5;LINNMON 100x60 black-brown AP;0;2025;0;0;2025
361756;800230;4;LINNMON 100x60 white AP;0;15957;0;0;15957
90361177;800231;18;LINNMON 120x60 black-brown AP;0;216;0;0;216
60353758;800056;15;LINNMON 120x60 geometric beige;0;5590;0;0;5590
10355496;800299;1;LINNMON 120x60 geometric beige RU;0;182;0;0;182
20353755;800056;16;LINNMON 120x60 geometric blue;0;2964;0;0;2964
353756;800231;15;LINNMON 120x60 geometric blue AP;0;962;0;0;962
90355497;800299;2;LINNMON 120x60 geometric blue RU;0;182;0;0;182
50361179;800231;17;LINNMON 120x60 white AP;0;1269;0;0;1269
80353738;800056;17;LINNMON 120x60 white stained oak;0;25758;0;0;25758
60353739;800231;16;LINNMON 120x60 white stained oak AP;0;2187;0;0;2187
80361187;800232;12;LINNMON 150x75 white AP;0;1170;0;0;1170
20353741;800057;11;LINNMON 150x75 white stained oak;0;16250;0;0;16250
40353740;800232;11;LINNMON 150x75 white stained oak AP;0;1976;0;0;1976
40361189;800233;4;LINNMON 200x60 white AP;0;1638;0;0;1638
60251335;800269;2;LINNMON N cr tbl tp 120x120 black-brown;0;3588;0;0;3588
361172;800270;4;LINNMON N cr tbl tp 120x120 black-brown AP;0;437;0;0;437
50251133;800269;1;LINNMON N cr tbl tp 120x120 white;0;6348;0;0;6348
80361173;800270;3;LINNMON N cr tbl tp 120x120 white AP;0;23;0;0;23
251338;800055;3;LINNMON N tbl tp 100x60 black-brown;0;12555;0;0;12555
251135;800055;2;LINNMON N tbl tp 100x60 white;0;51759;0;0;51759
251343;800056;7;LINNMON N tbl tp 120x60 black-brown;0;8667;0;0;8667
70251349;800056;9;LINNMON N tbl tp 120x60 oak effect;0;1971;0;0;1971
60251137;800056;4;LINNMON N tbl tp 120x60 white;0;23787;0;0;23787
10251352;800057;6;LINNMON N tbl tp 150x75 black-brown;0;11076;0;0;11076
20251139;800057;3;LINNMON N tbl tp 150x75 white;0;22880;0;0;22880
80251358;800203;3;LINNMON N tbl tp 200x60 black-brown;0;3900;0;0;3900
80251141;800203;2;LINNMON N tbl tp 200x60 white;0;7098;0;0;7098
20251337;800057;8;LINNMON NN tbl tp 150x75 oak effect;0;2106;0;0;2106
